english	partOfSpeech	lugso	notes
abandon	VB	tof	
abide	VB	rxi	
ABL	N suffix	ug	ablative case - about N, from location
above	PREP	-	see over
ACC	N suffix	ir	accusative case - to N, towards location
accept	VB	-	see grant
act	N	xon	
ADJ.DER	suffix	n	adjectivizing suffix
ADV	PART	n5	introduces adverbial clause
ADV.DER	suffix	uv	-ly
aeon	N	it	
æther	N	-	see gas
again	ADV	uy	
age	N	-	see aeon
tear	VB	pi3	
rend	VB	-	see tear
agent	N	ozog	
agree	VB	ruy	
air	N	-	see gas
all	ADJ, N	lhi	
allow	VB	-	see grant
also	ADV	gir	
and	CONJ	-	see CONJ
animal	N	-	see beast
answer	N	tpo	
apprehend	VB	dlil	
artifact	N	5ub	
ascend	VB	-	see rise
asceticism	N	fultip	the life of self-denial
ask	VB	bog	
asleep	ADJ compound*	-	death-ADJ.DER
assemble	VB	u5l	synthesize
atlachnacha	N	oslo3no3o	
attend	VB	inf	
AUG	suffix	tux	augmentative - more ... than, a large ...
balance	N	spips	
be_location	VB	fu3	"he is here", "it is there", etc
beast	N	tlu	
beautiful	ADJ	oldri5	"eldritch" 
beckon	VB	goxs	
become	VB	-	see change
begin	VB	3gur	
behold! hello!	INTERJ	iyo	iå iå
belly	N	3ot	
beloved	ADJ compound*	-	self-equal
BEN	N suffix	lul	benefactive case - for the sake of N
beneath	PREP	nhoxb	
betray	VB	3ulps	
beyond	PREP	ni5z	
big	ADJ	-	see large
bind	VB	holx	
bird	N compound	-	beast-gas
birth	VB	tur	
bite	VB	ih5	
black	ADJ	3xig	
blaspheme	VB	zbost	
bless	VB	gihh	
blessing	N compound*	-	bless-NMLZ.DER.act
blood	N	lug	
blow	VB	zubov	
body	N	gvifn	
bone	N	nuy	
book	N	yos	
boundary	N	rots	
bowl	N	tgihp	
bread	N compound	-	flesh-wheat
breast	N compound	-	organ-milk
breathe	VB	5ux	
bring	VB	zvis	
brotherhood	N	xi5	
burn	VB	hih	
burrow	VB	hott	travel through solid
call	VB	-	see beckon
can	AUX	vgov	
cannibalism	N	hbi	
Carcosa	N	xorxoso	
catch	VB	git	
cause	VB	bihn	
center	N	-	see heart
certain	ADJ	zvoyg	
change	VB	fiht	
changing	ADJ	-	see mercurial
chaos	N	gu3	
chaugnar faugn	N	3ougnorfougn	
child	N	yols	
clothing	N	u3p	
cohesion	N	puhr	
collection	N	zin	
COM	N suffix	niy	comitative case "together with N, alongside N"
come	VB	zfoy	
command	VB	pigh	
commence	VB	yxosz	
component	N	vgol	
CONJ.and	VB suffix	ub	and' for verbs
CONJ.but	VB suffix	i5	
CONJ.N	N suffix	id	and' for nouns: noun AND noun did xyz (also called 'enclitic')
consequence	N	rug	
consume	VB	huf	
consummate	VB	xbitp	
contact	VB	fuhr	
contract	N	bul	
control	VB	gux	
converse	VB	-	see exchange
COP	VB	∅	copula
corpse	N compound	gvifn-fhtogni	body sleeping
count	VB compound*	iln	number-VB.DER
create	VB	nyu	make
crowd	N	ofg	
crush	VB	pi5n	
cry	VB	-	see weep
Cthulhu	N	xtulhu	
cult	N compound*	-	organization_natural-bless-NMLZ.DER.patient
cultist	N compound	-	know-truth-NMLZ.DER.agent
curse	VB	bun	
darkness	N	3xign	
day	N compound	-	aeon-DIM
dead	ADJ compound*	-	see asleep
death	N	fhtog	
debt	N	-	see imbalance
decompose	VB	opy	
deity_bestial	N compound*	-	beast-SUPER
deity_intelligent	N compound*	-	sapient-SUPER
depart	VB	sog	
descend	VB	zyuzh	
desire	VB	piril	
dessicate	VB compound*	-	dry-VB.DER
destroy	VB	olp	
DET.DIST	PART	ivol	distal determinant (that)
DET.PROX	PART	ivih	proximal determinant (this)
die	VB	-	see sleep
dig	VB	-	see burrow
DIM	suffix	ix	diminutive - less ... than, a small ...
dimension_alternate	N	yit	
dimension_spatial	N	ris	
distant	ADJ	botut	
dog	N compound	-	beast-follower
dominion	N	zyu	
door	N	vvu	
dream	VB	zod	also "wish to" 
dry	ADJ	xrotz	
ear	N compound	-	organ-sense-noise
earth	N	fu	dirt, not planet
eat	VB	-	see consume
edifice	N	hsidv	
egg	N	otl	
embrace	VB	-	see possess
emerge	VB	vsixi	
EMPH	PART	yiy	indeed, too
encant	VB	obx	
end	N	vod	
enough	ADJ compound	-	entire-do
enter	VB	h5o	
entire	ADJ	yop	
epoch	N	-	see aeon
equal	ADJ	xox	
essence	N	pus	
eternity	N	sup	
every	ADJ	-	see all
exact	ADJ	vounr	
exchange	VB	zilx	transact, converse
exist_living	VB	hoh	
exist_nonliving	VB	hix	
expect	VT	biz	
extrude	VB	hsuy	
eye	N	oxo	
F	N suffix	nu	
face	N	zu5	
fail	VB	dis	
fall	VB	igx	also "fit" as in "that fits" or "that suits"
false 	ADJ	-	see imaginary
falsehood	N	-	see imagining
family	N	-	see organization_human
far	ADJ	-	see distant
fat	N	oybon	noun - grease. sounds like 'eibon'
father	N	futn	
fault	N	fguv	
fear	VB, N	zufux	
feather	N compound	-	hair-gas
feeble	ADJ	-	see weak
feed	VB	xix	
feel	VB compound	-	sense-pressure
female	ADJ	-	see F
few	ADJ	liyus	
FFUT	VB suffix	l5i	far future
fight	VB	bgotyox	
final	ADJ	-	see last
find	VB	rox	
finger	N	-	see flagellum
finish	VB	buz	
finite	ADJ compound*	-	infinite-NEG
fire	N	3uz	
fish	N compound	-	beast-liquid
fit	VB	-	see fall
flagellum	N	blolg	
flail	VB	pin	
flee	VB	truts	
flesh	N	5il3	
flower	N	rniu	
fly	VB	so3	travel through gas
focus	VB	-	see attend
follower	N	pol	
food	N	xux	
foot	N	5vui5	
forest	N	gunlogrginr	
forget	VB	tyo	
forgive	VB	-	see forget
FORM	VB suffix	yo	formal mood 
form_body	N	-	see body
FPRET	VB suffix	us	far past
friend	N compound	-	follower-human
fruit	N	ro5hu	
fuel	N	rlohs	
FUT	VB suffix	tu	
future	N	xuy	
gas	N	sfu	
gather	VB	lorl	
GEN	N suffix	so	genitive case - of N, from N, N's (not possession - contrast POSS)
gift	N	-	see blessing
give	VB	yurg	
go	VB	go	
goal	N	-	see end
god	N	-	see deity_intelligent
gold	N	bti5r	
gorge	VT	h3unb	
grant	VB	fun	allow, permit, accept
grass	N compound	-	hair-earth
gravity	N	yzipy	
great	ADJ	yug	
group	N	yoz	abstract grouping (not to be confused with "organization")
grow	VB	xbu	
guts	N	ybulx	entrails
hair	N	pofgo	
hand	N	xovs	
